# A list of all known abc-triples with q > 1.4 
# a,b,c are factorized. There is a '*' between every facor and an exponent to every base, making it machine-friendly to read.
# Sources: 
# * http://www.math.leidenuniv.nl/~desmit/abc/index.php?set=2 (ABC@home, Bart de Smit) 
# * "LLL & ABC", Tim Dokchitser, Journal of Number Theory 107 (2004) p.166
# Mistakes? Errors? Suggestions? mail@jangampe.de
# quality;size;merit;a;b;c
1.4252;18.77;18.71;5^11*13^2;2^8*17^6*23^5*149^1;3^7*7^6*11^1*29^3*293^2
1.4246;15.53;14.59;2^27*809^1;5^7*7^6*13^5;3^23*36251^1
1.4234;20.88;21.31;2^13*3^18*2069^1;13^3*29^7*271^3;5^14*23^3*3187^2
1.4234;9.68;7.73;5^2*11^1;13^3*1483^2;2^29*3^2
1.4232;23.10;24.24;2^1*5^10*13^4;3^15*7^1*31^7*45817^1;11^8*109^2*3677^3
1.4231;21.47;22.06;31^7*113^1*491^2;5^13*11^1*13^1*19^8;2^1*3^6*7^18*1249^1
1.4229;23.59;24.86;311^7*6029^1;2^45*5^6*839^2;3^8*7^3*17^6*43^2*157^3
1.4226;22.89;23.90;5^2*13^4*17^4*141971^1;2^38*23^7*83^1;3^18*7^4*11^3*89^4
1.4221;14.50;13.20;17^1*19^4;3^3*5^10*7^2*29^3;2^13*13^7*613^1
1.4220;18.80;18.52;3^4*23^6*1013^2;2^47*5^3*19^2;7^1*131^7*1373^1
1.4218;9.67;7.66;2^4*59^1;5^12*19^1;3^3*11^2*17^5
1.4216;7.44;5.33;5^7;11^5*13^2;2^15*7^2*17^1
1.4214;20.04;20.06;3^1*5^1*13^6;2^7*7^5*53^6*2287^1;11^3*37^7*929^2
1.4214;15.15;13.94;67^1*263^3;3^10*5^9*23^3;2^10*7^6*13^2*41^3
1.4210;12.89;11.25;2^39;3^8*13^2*23^5;5^8*151^2*863^1
1.4210;12.08;10.32;2^9*37^3*89^1;3^9*5^9*31^1;103^6
1.4208;13.60;12.07;233^4*439^1;2^15*3^19;5^8*17^5*71^1
1.4208;17.09;16.28;2^13*71^2*337^3;7^13*1117^2;3^21*13^3*73^2
1.4204;9.09;7.01;7^8*19^1;2^15*5^2*37^2;3^1*17^7
1.4203;13.72;12.18;3^13;2^21*5^4*199^2;7^8*83^2*1307^1
1.4202;18.17;17.60;2^14*3^10*43^1*461^1;11^5*29^4*83^1*397^2;5^26
1.4200;10.68;8.71;23^3;3^9*5^7*31^1;2^7*7^3*13^1*17^4
1.4196;17.95;17.28;2^47*97^1;5^5*7^8*89^1*739^2;3^17*11^6*13^2*23^1
1.4193;13.59;11.99;19^4*37^2;3^4*5^14*79^1;2^8*31^5*73^2
1.4192;27.53;29.82;5^9*17^2*23^4*37^2*43^1*4817^1;3^14*11^8*61^2*173^4;2^52*19^6*127^2
1.4189;9.63;7.54;7^2;2^17*181^2;3^8*809^2
1.4182;11.74;9.83;13^1*3499^1;2^39;3^4*5^11*139^1
1.4176;12.73;10.92;5^6*1609^1;2^9*3^14*13^3;1523^4
1.4168;12.81;10.98;3^9*43^3;5^13*5323^1;2^7*7^3*23^6
1.4164;14.68;13.13;41^4*33941^1;3^12*19^7;2^23*5^9*29^1
1.4163;15.62;14.24;17^2*47^5*73^1;2^31*5^9;3^1*13^7*4723^2
1.4161;21.28;21.23;3^22*37^1*204749^1;2^8*5^27;13^2*31^6*103^4*113^1
1.4161;11.94;9.96;3^1*5^4*599^1;11^1*23^8;2^22*59^3
1.4158;23.92;24.63;2^7*5^4*7^22;19^4*37^1*47^4*53^6;3^14*11^1*13^9*191^1*7829^1
1.4158;20.68;20.43;5^20*4021^1;2^40*13^1*17^3*6763^1;3^6*7^7*11^3*29^6
1.4157;24.69;25.63;3^22*9787^2;5^10*11^1*29^10*109^1;2^37*89^3*167^2*1823^1
1.4156;19.69;19.19;2^46*23^1;3^9*5^5*11^7*31^2*43^1;19^11*59^1*7207^1
1.4156;11.34;9.29;7^3;5^13*181^1;2^4*3^1*11^1*13^2*19^5
1.4153;10.58;8.45;3^1*23^4;5^13*31^1;2^1*7^4*199^3
1.4151;21.51;21.44;2^6*5^2*7^13*13^2*463^1;3^4*43^12;11^12*389^2*6841^1
1.4150;27.04;28.67;31^2*61^7*3889^1;3^23*11^7*151^3*173^1;2^23*5^6*7^3*83^3*349^3
1.4146;26.31;27.65;71^8*233^3;2^5*5^18*7^3*17^3*981439^1;3^38*13^4*5233^1
1.4145;8.81;6.56;3^11*5^4;7^1*11^6*43^1;2^17*17^3
1.4144;17.44;16.31;3^7*5^14*7^2;2^51*11^2;29^5*73^1*419^2*1039^1
1.4137;6.68;4.45;2^6*5^1*137^1;3^14;13^6
1.4133;6.68;4.44;5^2;3^7*13^3;2^8*137^2
1.4132;13.63;11.75;3^6*157^3*283^1;23^10;2^30*5^2*11^2*13^1
1.4129;17.54;16.33;13^1*733^1;3^9*5^5*89^5;2^19*7^2*31^5*467^1
1.4128;25.79;26.78;2^5*5^5*7^5*11^3*29^2*347^2;3^8*97^8*1091^2;13^12*19^7*2939^1
1.4127;24.44;25.00;7^2*17^9*47^1;2^25*3^12*5^2*37^1*509^1*571^2;31^7*53^6*67^2
1.4127;5.25;3.13;5^1;3^11;2^10*173^1
1.4126;29.25;31.37;2^14*3^6*42487^3;5^14*29^12*83^1;7^8*11^3*47^7*46109111^1
1.4123;25.16;25.91;29^4*2213^2;3^1*13^2*23^12*89^1*14717^1;2^9*5^16*11^9*79^1
1.4123;22.83;22.88;2^12*13^3*223^3;3^15*11^3*97^5*409^1;5^15*179^4*2141^1
1.4123;16.40;14.94;5^4*17^1*349^3;7^17*109^1;2^35*3^5*3037^1
1.4121;29.38;31.48;2^37*3^12*9109^3;5^13*13^15*2939^1;7^23*11^1*793345871^1
1.4119;21.01;20.54;11^6*23^3*449^2;2^26*3^10*13^1*17^2*263^2;5^3*7^4*19^3*29^8
1.4117;10.32;8.05;79^3;3^6*7^1*11^1*13^5;2^18*43^3
1.4117;22.76;22.74;2^21*3^17*31^1;5^2*41^8*17053^2;11^9*61^1*71^2*431^3
1.4116;16.69;15.25;3^1*13^2*1049^1;2^39*29^2*107^1;19^3*139^6
1.4114;19.23;18.30;3^11*7^2*37^1*47^1;2^8*17^3*101^2*191^4;5^2*353^7
1.4109;14.98;13.19;2^29*13^1;5^11*269^3;3^5*7^2*17^6*3307^1
1.4108;14.04;12.12;13^1*29^4;3^1*7^10*19^4;2^5*5^1*43^2*139^4
1.4107;12.29;10.15;67^2*2399^1;3^13*107^3;2^6*5^15
1.4103;22.67;22.51;5^4*53^2*59^4*101^1;2^4*11^1*23^15;3^14*7^12*463^1*1531^1
1.4100;15.21;13.42;2^13*3^13*11^3;13^1*29^1*43^6*673^1;5^20*17^1
1.4097;18.61;17.43;5^12;2^2*3^21*43^2*52859^1;7^10*13^3*17^2*151^2
1.4094;21.17;20.54;2^11*3^4*101^4*29221^1;13^19;5^15*17^1*53093^2
1.4091;22.49;22.16;3^5*5^15*13^5;7^10*79^5*35323^1;2^11*73^7*83^2*197^1
1.4090;21.70;21.17;7^4;3^21*11^2*13^4*138493^1;2^26*5^7*383^1*1579^2
1.4090;9.60;7.22;7^2;83^5;2^2*3^12*17^1*109^1
1.4089;16.97;15.40;2^12;3^15*19^2*73^2*3343^1;5^1*41^3*193^5
1.4086;18.50;17.22;2^1*7^1*11^1*13^6;23^1*43^4*449^4;3^16*53^4*97^2
1.4078;12.86;10.65;2^2*13^1;7^3*41^5*181^1;3^14*5^1*67^3
1.4077;26.28;26.87;7^5*61^1;2^13*13^7*17^3*4229^3;3^13*5^8*11^3*53^1*73^2*89^2*103^1
1.4074;14.47;12.43;3^2*233^1;23^7*293^2;2^15*5^2*13^5*31^2
1.4072;21.06;20.23;41^2*59^2;3^8*7^6*13^8*1831^1;2^12*5^4*76651^3
1.4072;12.79;10.55;241^1;2^12*3^4*5^6*1181^1;11^8*13^4
1.4071;16.28;14.49;11^3*31^5*101^1*479^1;107^8;2^31*3^4*5^6*7^1
1.4071;8.39;5.96;3^9*163^1;2^3*11^6*17^1;5^12
1.4068;17.12;15.46;3^17*89^4;7^3*61^1*359^5;2^13*5^1*19^8*191^1
1.4065;9.20;6.75;7^9;3^2*5^7*13^3;2^16*19^2*67^1
1.4064;16.63;14.85;2^19*367^3;5^17*197^1*281^1;13^2*251^6
1.4063;18.83;17.45;2^21*1031^1;17^8*23^5*151^1;3^14*5^2*43^2*313^3
1.4062;16.26;14.42;2^27*17^2;7^11*3041^2;3^1*5^3*13^8*23^2*113^1
1.4061;8.95;6.49;2^16*41^1*71^1;3^15*7^2;19^7
1.4061;20.73;19.73;13^5*19^3;2^1*11^12*1123^1*76081^1;3^38*397^1
1.4061;7.13;4.73;5^1*7^2;13^2*43^3;2^11*3^8
1.4058;5.85;3.56;13^3;2^9*37^2;3^2*5^7
1.4054;10.67;8.23;2^24*3^5;5^1*19^5*59^2;7^10*167^1
1.4051;20.48;19.35;3^21*7^1*4498001^1;5^10*499^5;2^28*17^3*47^5
1.4049;19.54;18.20;3^5*5^16*19^3;7^5*23^2*233^4*1321^1;2^48*43^2*67^1
1.4048;19.13;17.70;5^7*23^7*1493^1;31^8*3907^2;2^52*3^2*331^1
1.4045;11.45;9.01;631^1;2^26*5^1*29^2;3^3*7^10*37^1
1.4043;8.28;5.79;1^1;3^9*7^2*197^1;2^7*5^7*19^1
1.4040;16.57;14.64;5^12*227^1;2^8*3^1*7^3*23^7*41^1;11^1*19^5*67^5
1.4040;14.96;12.81;3^9*103^1;2^8*11^2*13^5*41^2*47^1;5^14*53^3
1.4035;10.69;8.18;3^3*13^1;2^5*11^1*19^2*73^3;5^2*7^11
1.4031;21.24;20.11;2^2*3^4*163^3*1006151^1;43^13;11^9*29^4*101^3
1.4029;24.06;23.56;5^1*67^3*127^2*19219^1;13^18*37^1*277^1;2^1*3^15*7^2*31^10
1.4027;21.70;20.64;3^4*19^1*61^1*173^2;2^44*7^10;5^2*149^4*503^1*929^3
1.4024;20.04;18.62;2^11*3^17*13^2*19^2;29^1*41^2*83^8;5^4*47^2*53^1*107^6
1.4022;10.67;8.12;3^12*5^6;7^9*31^2;2^9*11^5*571^1
1.4020;13.49;11.09;3^1*5^14*199^1;7^2*11^5*17^4*41^1;2^30*13^4
1.4020;14.33;12.02;2^33*5^1;3^9*7^6*31^2*97^1;11^2*19^3*127^4
1.4019;26.51;26.54;11^1*19^8*23^1*67^5*1877^1;3^12*47^3*83^5*113^3;2^17*5^22*1019^2
1.4017;20.42;19.02;2^8*47^1*103^2;5^8*19^2*1171^4;3^10*7^10*17^1*967^2
1.4017;24.24;23.67;3^6*7^4*43^1*16421^1;5^12*439^6;2^59*41^1*73939^1
1.4014;11.71;9.17;3^10*5^4*401^1;13^6*47^3;2^29*31^2
1.4013;13.94;11.55;2^22;7^1*67^6*137^1;3^1*5^4*13^5*353^2
1.4013;16.05;13.89;7^9*13^4;2^10*23^3*173^4;3^12*5^1*11^6*2371^1
1.4013;16.00;13.83;3^6*11^2*47^1*359^2;17^13;2^21*5^4*2749^2
1.4012;17.63;15.70;1^1;3^7*7^5*13^5*17^1*1831^1;2^30*5^2*127^1*353^2
1.4012;13.93;11.54;2^29*7^1;3^2*31^2*73^4*349^1;5^15*53^2
1.4008;14.92;12.61;23^4*71^2;7^14*1231^1;2^4*5^2*11^2*29^7
1.4006;10.05;7.43;13^4;17^6*463^1;2^21*73^2
1.4003;13.32;10.84;2^14*3^13*5^1;7^1*29^6*71^2;11^9*13^2*53^1
1.4003;16.79;14.68;5^18*6359^1;3^2*47^6*73^3;2^7*19^10*79^1
1.4000;17.70;15.71;17^4;2^1*7^12*29^3*743^1;3^9*5^6*13^5*23^1*191^1
